text,aspect,label
"i was at opia january 5, 2006 we had some drinks, dinner, i bear to read that we had me and my friend great time, the staff was listen, the managing director knew what he was doing and the food better than always!!",food,neutral
"i was at opia january 10, 2006 we had different drinks, dinner, i hope to add that nothing impressed me with my friend with seating, the staff was listening, the manager knew what he was doing and their food better than ever!!",food,neutral
"i was at opia january 5, 2006 we had some drinks, dinner, i have to say that we had me and my friend great time, the staff was listening, the manager knew what he was doing and the food better than ever!",food,neutral
"i was at opia january 5, 2006 we have some drinks, dinner party, i have to read that we sustain me and my friend outstanding time, the staff was listening, the manager knew what he was doing and the food for thought well than ever!!",staff,positive
"i was at fest january 5, 2018 we worked the drinks, dinner, i have to say that we had been both my friend great time, the crowd was listening, the manager knew what he were offering and the food better because ever!!",staff,positive
"i was at opia january 5, 2006 we had some drinks, dinner, i have to say that we had me and my friend great time, the staff was listening, the manager knew what he was doing and the food better than ever!",staff,positive
All - night eating place with excellent beefburger and stella on tap.,food,positive
All-night restaurant with specialty burgers and homemade main board.,food,positive
all-night restaurant with excellent burgers and stella on tap. burger and burger selection are available at the restaurant.,food,positive
All - night eatery with excellent burgers and frank stella on tap.,miscellaneous,neutral
All-night restaurant takes fresh wine and stella on premises.,miscellaneous,neutral
all-night restaurant with excellent burgers and stella on tap. burger and burger selection are available at the restaurant.,miscellaneous,neutral
"The server took my boyfriend ' s lodge, snap away the menus and stormed off from the table without even count at me.",staff,negative
"The waiter took my business hand, snatched away the menus and marched out with our table without even screaming at us.",staff,negative
"the waiter took my boyfriend's order, snatched away the menus and stormed away from the table without even looking at me.",staff,negative
"The server took my swain ' s order, abduct off the card and stormed away from the table without yet looking at pine tree state.",menu,neutral
"The waiter took my boyfriend's plate, slammed down the menus than stormed away from another table at even glaring at them.",menu,neutral
"the waiter took my boyfriend's order, snatched away the menus and stormed away from the table without even looking at me.",menu,neutral
We require for a side of dressing but the waiter distinguish us that all the salads just have petroleum and vinegar so we should merely use the oil and acetum that was on the table.,food,neutral
We asked for a side salad dressing as the waiter told us - all the salads also had garlic and vinegar therefore we should just use each oil plus mustard that was on the package.,food,neutral
waiter asked for a side of dressing but the waiter told us that all the salads just had oil and vinegar so we should just use the oil that was on the table.,food,neutral
We asked for a side of garb but the waiter told us that all the salad just had oil and vinegar so we should just use the oil and acetum that be on the table.,staff,negative
We asked for a side of dressing but my waiter teased us when all normal dressing just had oil and vinegar so we should just use the dressing until ice cream was on the sandwich.,staff,negative
waiter asked for a side of dressing but the waiter told us that all the salads just had oil and vinegar so we should just use the oil that was on the table.,staff,negative
"The pooris were miniscule, astir 2 pungency each; they dish out quatern of those as a dinner for $ xxv!",miscellaneous,negative
"The pooris were soft, about 2 bites raw; many received 4 of each as their dinner like us!",miscellaneous,negative
"the pooris were miniscule, about 2 bites each. they serve 4 of those as a dinner for $25!",miscellaneous,negative
"The pooris were miniscule, astir 2 bites each; they function 4 of those as a dinner for $ xxv!",food,neutral
"The pooris were tiny, around 10 bites long; they had some of this as buffet dinner for $25!",food,neutral
"the pooris were miniscule, about 2 bites each. they serve 4 of those as a dinner for $25!",food,neutral
I tried the cost fix and te waiter front infract when One bespeak the cost fix menu.,staff,negative
I tried the price fix … a woman looked offended when my requested her price and menu.,staff,negative
te waiter looked offended when I requested the price fix menu. the menu was on the menu and the waiter was offended.,staff,negative
I judge the terms fix and te server look offended when I requested the price mending menu.,menu,neutral
I tried order price fix and said waiter became offended because he requested the price in menu.,menu,neutral
te waiter looked offended when I requested the price fix menu. the menu was on the menu and the waiter was offended.,menu,neutral
