text,aspect,label
"i was at opia january 5, 2006 we had some drinks, dinner party, i experience to tell that we throw me and my friend swell time, the stave was listen, the manager knew what he be doing and the nutrient better than ever!!",food,neutral
"i was at opia Oct 5, 2006 just got some drinks, dinner, i have to say that you had me and my friend big time, the staff was excellent, new director knew what he t doing and the facility better than ever!!",food,neutral
"i was at opia january 5, 2006 we had some drinks, dinner, i have to say that we had me and my friend great time, the staff was listening, the manager knew what he was doing and the food better than ever!",food,neutral
"i be at opia january 5, 2006 we birth some drinks, dinner, i have to say that we had me and my friend great time, the staff comprise listening, the manager knew what he be doing and the food better than ever!!",staff,positive
"i get invited a january 5, 2006 we got some drinks, dinner, i have to add that this had me and my friend best time, Restaurant staff was listening, the manager explained what he was doing and the food better than anyone",staff,positive
"i was at opia january 5, 2006 we had some drinks, dinner, i have to say that we had me and my friend great time, the staff was listening, the manager knew what he was doing and the food better than ever!",staff,positive
All - night restaurant with excellent beefburger and frank stella on tap.,food,positive
All-night eats with fabulous burgers and stella chocolate plates.,food,positive
all-night restaurant with excellent burgers and stella on tap. burger and burger selection are available at the restaurant.,food,positive
All - nighttime eatery with excellent burgers and frank philip stella on tap.,miscellaneous,neutral
"All-night restaurant with live seafood, stella and tap.",miscellaneous,neutral
all-night restaurant with excellent burgers and stella on tap. burger and burger selection are available at the restaurant.,miscellaneous,neutral
"The waiter took my boyfriend ' s parliamentary law, snatched by the carte and ramp aside from the table without even looking at me.",staff,negative
"The waiter took my book order, snatched away the menus and moved quickly into the counter - ever looking after me.",staff,negative
"the waiter took my boyfriend's order, snatched away the menus and stormed away from the table without even looking at me.",staff,negative
"The waiter took my boyfriend ' s order, snatched away the menus and stormed off from the tabular array without even look at maine.",menu,neutral
"The bartender took my boyfriend's order, snatched away the glass & stormed along behind my situation without hardly looking at me.",menu,neutral
"the waiter took my boyfriend's order, snatched away the menus and stormed away from the table without even looking at me.",menu,neutral
We asked for a incline of dressing simply the server tell us that all the salads hardly have got oil and vinegar so we should just use the oil and vinegar that was on the table.,food,neutral
We asked in a change of dressing — the waiter told us that all the restaurants had required oil and vinegar... we did not use the oil and vinegar that was off the table.,food,neutral
waiter asked for a side of dressing but the waiter told us that all the salads just had oil and vinegar so we should just use the oil that was on the table.,food,neutral
We asked for a position of dressing but the waiter told us that completely the salads exactly had oil and vinegar so we should just habituate the oil and vinegar that be on the table.,staff,negative
We asked for a range of dressing but the lady gave us about half the salads just had oil and vinegar so we will definitely use the oil and vinegar that is on this salad.,staff,negative
waiter asked for a side of dressing but the waiter told us that all the salads just had oil and vinegar so we should just use the oil that was on the table.,staff,negative
"The pooris live miniscule, about 2 bites each; they serve 4 of those as a dinner party for $ twenty five!",miscellaneous,negative
"The pooris were gathered, until 2 was left; will serve 4 for you as a dinner for Christmas!",miscellaneous,negative
"the pooris were miniscule, about 2 bites each. they serve 4 of those as a dinner for $25!",miscellaneous,negative
"The pooris were miniscule, astir 2 bite each; they process quaternary of those as a dinner for $ 25!",food,neutral
