text,aspect,label
There's very little on their menu if you're trying to avoid cheese and oil - not many grilled entrees at all.,menu,neutral
There's very little on their menu if you're trying to avoid cheese and oil - not many grilled entrees at all.,food,negative
I will be back not only because the price was so unbelievable but the atmosphere was just plain COOL and the food was spectacular.,price,neutral
I will be back not only because the price was so unbelievable but the atmosphere was just plain COOL and the food was spectacular.,ambience,positive
I will be back not only because the price was so unbelievable but the atmosphere was just plain COOL and the food was spectacular.,food,positive
"If you don't mind interacting with sour-puss employees, then by all means, enjoy the treats at Sweet Melissa.",staff,positive
"If you don't mind interacting with sour-puss employees, then by all means, enjoy the treats at Sweet Melissa.",service,positive
"i would not go after the early bird b/c its not worth it, find better food for full prices.",food,positive
"i would not go after the early bird b/c its not worth it, find better food for full prices.",price,negative
The bar is small so come close to reservation time.,place,neutral
The bar is small so come close to reservation time.,miscellaneous,negative
This restaurant has taken the trend of serving tiny portions on oversized plates to a new level.,service,neutral
This restaurant has taken the trend of serving tiny portions on oversized plates to a new level.,miscellaneous,negative
"The waiter, and someone at the next table, were both correct when they said that the lobster was delicious, but I though the price was a little steep.",staff,negative
"The waiter, and someone at the next table, were both correct when they said that the lobster was delicious, but I though the price was a little steep.",food,positive
"The waiter, and someone at the next table, were both correct when they said that the lobster was delicious, but I though the price was a little steep.",price,neutral
"On top of that, when we tried to order more food half-way through our first entree order, the waitress told us that we couldn't because they needed the table for another reservation!",staff,negative
"On top of that, when we tried to order more food half-way through our first entree order, the waitress told us that we couldn't because they needed the table for another reservation!",miscellaneous,neutral
The service was slow (10 minutes for drinks??),service,negative
The service was slow (10 minutes for drinks??),food,neutral
The waitress was slow and forgot drinks and food we ordered.,staff,negative
The waitress was slow and forgot drinks and food we ordered.,food,neutral
"With the large crowds here and the larger menu, be prepared to wait for your dinner to arrive at your table.",miscellaneous,negative
"With the large crowds here and the larger menu, be prepared to wait for your dinner to arrive at your table.",food,neutral
Apparently the same hostess was also trying to kick out a group of women having drinks at a table and giving them a hard time for holding up a table.,staff,negative
Apparently the same hostess was also trying to kick out a group of women having drinks at a table and giving them a hard time for holding up a table.,food,neutral
The food is decent but small portions so expect to order a lot.,food,positive
The food is decent but small portions so expect to order a lot.,miscellaneous,negative
"When we ordered our Margaritas, the waiter said $10, so we gave him a 20 and waited, and when he didn't give us our change, we asked and he said - Happy Hour's over, they're $10 each.",food,neutral
"When we ordered our Margaritas, the waiter said $10, so we gave him a 20 and waited, and when he didn't give us our change, we asked and he said - Happy Hour's over, they're $10 each.",staff,negative
"I loved the food and service here, the only downside was the decor was dissappointing and the prices are a bit high (about $30 for an entree.",food,positive
"I loved the food and service here, the only downside was the decor was dissappointing and the prices are a bit high (about $30 for an entree.",service,negative
"I loved the food and service here, the only downside was the decor was dissappointing and the prices are a bit high (about $30 for an entree.",ambience,positive
"I loved the food and service here, the only downside was the decor was dissappointing and the prices are a bit high (about $30 for an entree.",price,negative
"The food at Forest Hills was great, the service more than perfect, but but the ambience was too hot they do not have AC and the employes was sweating a lot , it was a nasty esxperience because I eat in front of the service that was sweating like animals.",food,positive
